design,regime,center_p,second_difference,standard_error,four_se_lower,four_se_upper,statistically_significant_violation,consistent_with_concavity
fixed_cardinality,independent,0.25,-0.09973855734611921,0.0006353307217417296,-0.10227988023308612,-0.09719723445915229,false,true
fixed_cardinality,independent,0.375,-0.03501134751544309,0.0000700994404366648,-0.03529174527718975,-0.03473094975369643,false,true
fixed_cardinality,independent,0.5,-0.01678020822040048,0.0003805351600879386,-0.018302348860752236,-0.015258067580048726,false,true
fixed_cardinality,independent,0.625,-0.007592037435729062,0.0005926369512572117,-0.009962585240757908,-0.005221489630700215,false,true
fixed_cardinality,independent,0.75,-0.0032818680665557065,0.0007118969368486525,-0.006129455813950317,-0.0004342803191610964,false,true
fixed_cardinality,independent,0.875,-0.0018988309476895746,0.0008995838461704919,-0.005497166332371542,0.001699504436992393,false,true
bernoulli_conditioned_nonempty,independent,0.25,-0.007591386056175216,0.00003278256284254031,-0.007722516307545377,-0.007460255804805055,false,true
bernoulli_conditioned_nonempty,independent,0.375,-0.014891748570417938,0.000034733077270974336,-0.015030680879501835,-0.014752816261334041,false,true
bernoulli_conditioned_nonempty,independent,0.5,-0.014962053126821452,0.0003628229497786188,-0.01641334492593593,-0.013510761327706977,false,true
bernoulli_conditioned_nonempty,independent,0.625,-0.010898447191327296,0.0005810067669796067,-0.013222474259245724,-0.00857442012340887,false,true
bernoulli_conditioned_nonempty,independent,0.75,-0.005420682226800188,0.0007035352354184361,-0.008234823168473931,-0.0026065412851264433,false,true
bernoulli_conditioned_nonempty,independent,0.875,-0.002818121608105582,0.0010104898713837168,-0.006860081093640449,0.0012238378774292848,false,true
fixed_cardinality,positive_block,0.25,-0.09048621504900671,0.0005585942858539811,-0.09272059219242264,-0.08825183790559078,false,true
fixed_cardinality,positive_block,0.375,-0.02640146360084708,0.00022571894934567623,-0.027304339398229786,-0.025498587803464375,false,true
fixed_cardinality,positive_block,0.5,-0.009454429760534521,0.0002528914379194952,-0.010465995512212502,-0.00844286400885654,false,true
fixed_cardinality,positive_block,0.625,-0.005381613490353256,0.000060806563378027484,-0.0056248397438653655,-0.005138387236841146,false,true
fixed_cardinality,positive_block,0.75,-0.005136769441019784,0.00005748909847759075,-0.005366725834930147,-0.004906813047109422,false,true
fixed_cardinality,positive_block,0.875,-0.004812149652400427,0.000042698422363938234,-0.00498294334185618,-0.004641355962944674,false,true
bernoulli_conditioned_nonempty,positive_block,0.25,-0.006870791820283169,0.0005269022984633644,-0.008978401014136626,-0.004763182626429711,false,true
bernoulli_conditioned_nonempty,positive_block,0.375,-0.010310858848643814,0.0002368445816744725,-0.011258237175341704,-0.009363480521945924,false,true
bernoulli_conditioned_nonempty,positive_block,0.5,-0.010100462705328127,0.00013952218647280337,-0.01065855145121934,-0.009542373959436913,false,true
bernoulli_conditioned_nonempty,positive_block,0.625,-0.008155203410993087,0.00006821142378461634,-0.008428049106131551,-0.007882357715854622,false,true
bernoulli_conditioned_nonempty,positive_block,0.75,-0.005935738020189606,0.000034980757590906675,-0.006075661050553233,-0.00579581498982598,false,true
bernoulli_conditioned_nonempty,positive_block,0.875,-0.004927438260021541,0.0000406983839403431,-0.005090231795782913,-0.0047646447242601685,false,true
fixed_cardinality,negative_block,0.25,-0.10563875973545533,0.0007237217766408158,-0.10853364684201859,-0.10274387262889208,false,true
fixed_cardinality,negative_block,0.375,-0.03963745910134685,0.00010063171273574491,-0.04003998595228983,-0.039234932250403864,false,true
fixed_cardinality,negative_block,0.5,-0.01792544411998101,0.0005284264502388226,-0.0200391499209363,-0.01581173831902572,false,true
fixed_cardinality,negative_block,0.625,-0.003992185063988685,0.0004622992999507964,-0.00584138226379187,-0.002142987864185499,false,true
fixed_cardinality,negative_block,0.75,0.0037231230481906824,0.0015637689395200393,-0.002531952709889475,0.009978198806270839,false,true
fixed_cardinality,negative_block,0.875,-0.006485628737859222,0.0019574911839818276,-0.014315593473786532,0.0013443359980680886,false,true
bernoulli_conditioned_nonempty,negative_block,0.25,-0.008779399241954814,0.00002532319198132108,-0.008880692009880098,-0.00867810647402953,false,true
bernoulli_conditioned_nonempty,negative_block,0.375,-0.016697349266459043,0.00004173438089273499,-0.01686428679002998,-0.016530411742888104,false,true
bernoulli_conditioned_nonempty,negative_block,0.5,-0.014994410872578037,0.0005181066294633449,-0.017066837390431418,-0.012921984354724657,false,true
bernoulli_conditioned_nonempty,negative_block,0.625,-0.009547322774320008,0.001691302032960441,-0.016312530906161773,-0.002782114642478244,false,true
bernoulli_conditioned_nonempty,negative_block,0.75,0.0011980146759134138,0.0011050749701597825,-0.0032222852047257165,0.005618314556552544,false,true
bernoulli_conditioned_nonempty,negative_block,0.875,-0.005612160534113287,0.001786268776539619,-0.012757235640271763,0.0015329145720451888,false,true
