design,regime,p,seed,m,estimate,standard_error,population_reference,absolute_difference,tolerance,agrees_with_population
fixed_cardinality,independent,0.125,101,8192,0.008713917164419112,0.003926041796625421,0.0000026887573475138923,0.008711228407071598,0.027917858305943916,true
fixed_cardinality,independent,0.125,202,8192,0.0031727553506599266,0.003943365743633324,0.0000026887573475138923,0.0031700665933124127,0.02802023724101841,true
fixed_cardinality,independent,0.125,303,8192,-0.009726352531081207,0.003832355254942202,0.0000026887573475138923,0.009729041288428721,0.027364440501488813,true
fixed_cardinality,independent,0.25,101,8192,0.19864123623605298,0.0032223099166072736,0.1994740396217008,0.0008328033856478123,0.023856050763021244,true
fixed_cardinality,independent,0.25,202,8192,0.20123403628848668,0.0032045900007802042,0.1994740396217008,0.0017599966667858902,0.023752542200520234,true
fixed_cardinality,independent,0.25,303,8192,0.19911403915541215,0.003238786379576545,0.1994740396217008,0.0003600004662886458,0.023952322381186993,true
fixed_cardinality,independent,0.375,101,8192,0.301669117744111,0.0029021716512211203,0.2992068331399349,0.0024622846041760793,0.022116803087990255,true
fixed_cardinality,independent,0.375,202,8192,0.3000348157725711,0.0029468547391412114,0.2992068331399349,0.0008279826326361706,0.02237463595027458,true
fixed_cardinality,independent,0.375,303,8192,0.297588629467831,0.002923138189667844,0.2992068331399349,0.0016182036721039128,0.022237748520795107,true
fixed_cardinality,independent,0.5,101,8192,0.36451012898080626,0.0027252446946795274,0.36392827914272585,0.000581849838080406,0.02123770625709416,true
fixed_cardinality,independent,0.5,202,8192,0.3630565335762769,0.0027380432903799353,0.36392827914272585,0.0008717455664489782,0.021310566828212973,true
fixed_cardinality,independent,0.5,303,8192,0.36733971065044024,0.002752973767353555,0.36392827914272585,0.003411431507714391,0.021395606630662468,true
fixed_cardinality,independent,0.625,101,8192,0.4129523809671272,0.002819445919718853,0.41186951692511636,0.001082864042010856,0.022063107530452125,true
fixed_cardinality,independent,0.625,202,8192,0.4081553356098707,0.0028100409725670007,0.41186951692511636,0.003714181315245646,0.02201027020049873,true
fixed_cardinality,independent,0.625,303,8192,0.41124356815993707,0.0028243230537634075,0.41186951692511636,0.0006259487651792961,0.02209051598759644,true
fixed_cardinality,independent,0.75,101,8192,0.4538489288278683,0.0029746753407559542,0.4522187172717778,0.0016302115560904995,0.02334397488907845,true
fixed_cardinality,independent,0.75,202,8192,0.45703144445547894,0.003015579492564365,0.4522187172717778,0.0048127271837011265,0.023570649224283105,true
fixed_cardinality,independent,0.75,303,8192,0.45248717619721335,0.003000661847216624,0.4522187172717778,0.00026845892543553296,0.02348792902011743,true
fixed_cardinality,independent,0.875,101,8192,0.4921050394770189,0.0032492710293360438,0.4892860495518835,0.0028189899251354067,0.025442187152232197,true
fixed_cardinality,independent,0.875,202,8192,0.48958017156262135,0.0032314179395253563,0.4892860495518835,0.0002941220107378628,0.025344839616925862,true
fixed_cardinality,independent,0.875,303,8192,0.4834809769260655,0.0032388882265236996,0.4892860495518835,0.005805072625817975,0.02538556148099177,true
