kind,n,m,k,selected_count,objective,reference_objective,ratio,runtime_seconds,passed
exhaustive,8,,0,1,1.5957691216057315,1.5957691216057315,1.0,,true
exhaustive,8,,1,4,2.5004772412411436,2.5004772412411436,1.0,,true
exhaustive,8,,2,8,1.7841142494844342,1.7841142494844342,1.0,,true
exhaustive,8,,3,8,0.8920571247422171,0.8920571247422171,1.0,,true
scaling,64,192,3,64,15.79730833933718,,,0.007476669969037175,true
scaling,256,768,4,256,31.59461667867436,,,0.04274713294580579,true
scaling,1024,3072,5,1024,63.18923335734872,,,0.2473926639650017,true
scaling,4096,12288,6,4096,126.37846671469744,,,1.0850830129347742,true
scaling,16384,49152,7,16384,252.75693342939488,,,6.026901347911917,true
control,128,127,0,1,0.3989422804014327,50.66566961098196,0.007874015748031496,,false
